"OBJECTID_1","COUNT","AREA","MAX","Name"
"6614",123,7687500,22,"‘Uqbān"
"80233",10,625000,4,"‘Ushsh"
"87448",2,125000,0,"A Chau"
"5277",33,2062500,30,"A Illa da Toxa"
"12313",27,1687500,109,"A Quatre"
"21739",5,312500,7,"Aai Berar Besar"
"6433",6010,375625000,0,"Aakkarnersuaq"
"266038",NA,6143.66092,NA,"Aaltokari"
"16179",443,27687500,0,"Aaluiartik"
"6257",235,14687500,0,"Aaluit"
"16282",2497,156062500,0,"Aamat"
"6320",987,61687500,0,"Aappalaartoq"
"6302",845,52812500,0,"Aappilattoq"
"6417",7199,449937500,0,"Aappilattoq"
"6435",7461,466312500,0,"Aappilattoq"
"16291",156,9750000,0,"Aappilattoq"
"16189",268,16750000,0,"Aarfit"
"16310",1739,108687500,0,"Aasiaat"
"8234",1206,75375000,46,"Aaslaluoto"
"89364",14,875000,32,"Aba Shima"
"6585",26,1625000,66,"Aba’ielat"
"78322",7,437500,11,"Ābaberē Desēt"
"11798",10,625000,71,"Abagon Tabiki"
"119644",2,125000,0,"Abanahua"
"23294",14,875000,13,"Abatao"
"4580",53,3312500,13,"Abatiku"
"10532",855,53437500,28,"Abaura"
"10416",61,3812500,1,"Abavi"
"6593",85,5312500,12,"Abbaguba"
"13687",57,3562500,36,"Abbess"
"255363",NA,16648.855179,NA,"Abborrören"
"37065",4,250000,2,"Abbotts Harbour Island"
"889",2204,137750000,522,"Abd al Kuri"
"6666",33,2062500,12,"Abdul Kalam Island"
"20468",5855,365937500,35,"Abeloya"
"11268",76,4750000,15,"Abemama"
"11271",87,5437500,15,"Abemama"
"11276",260,16250000,13,"Abemama"
"12207",7,437500,30,"Abigin Tabbetje"
"10777",48,3e+06,72,"Ablingi"
"10567",469,29312500,1,"Abo"
"18582",33,2062500,32,"Abo'abuhan"
"19849",653,40812500,71,"Abord"
"119518",37,2312500,62,"Abra"
"8089",580,36250000,18,"Abruka"
"5421",62,3875000,40,"Absalom Island"
"13345",29,1812500,3,"Absecon"
"13346",51,3187500,3,"Absecon"
"13347",73,4562500,3,"Absecon"
