key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,modified,lastInterpreted,references,license,isSequenced,identifier,facts,relations,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,gbifRegion,publishedByGbifRegion,rightsHolder,identifier.1,http...unknown.org.nick,verbatimEventDate,verbatimLocality,collectionCode,gbifID,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,occurrenceRemarks,http...unknown.org.captive,identificationID,name,gadm,lifeStage,dynamicProperties,vitality,informationWithheld,distanceFromCentroidInMeters,sex,recordedByIDs.type,recordedByIDs.value,identifiedByIDs.type,identifiedByIDs.value,projectId,gadm.level0.gid,gadm.level0.name,infraspecificEpithet,individualCount,samplingProtocol,vernacularName,habitat,locality,identificationVerificationStatus,eventType,identificationRemarks,networkKeys,coordinatePrecision,elevation,elevationAccuracy,higherGeography,georeferencedBy,institutionKey,collectionKey,otherCatalogNumbers,preparations,institutionID,islandGroup,fieldNumber,higherGeographyID,verbatimElevation,nomenclaturalCode,island,georeferenceProtocol,georeferenceVerificationStatus,verbatimCoordinateSystem,disposition,ownerInstitutionCode,higherClassification,georeferenceSources,datasetID,eventID,http...unknown.org.language,originalNameUsage,county,municipality,nameAccordingTo,behavior,language,type,taxonRemarks,georeferenceRemarks,previousIdentifications,bibliographicCitation,accessRights,georeferencedDate,depth,depthAccuracy,footprintWKT,http...unknown.org.modified,identificationReferences,http...unknown.org.recordID,locationID,rights,collectionID,associatedReferences,http...unknown.org.recordEnteredBy,dataGeneralizations,locationAccordingTo,recordNumber,organismID,identificationQualifier
5007064248,"Anolis distichus Cope, 1861",19.015033,-69.010239,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:25:39.924+00:00,516,HUMAN_OBSERVATION,PRESENT,2467218,1,44,11592253,8345926,8782549,2467218,2467218,"Anolis distichus Cope, 1861",Animalia,Chordata,Dactyloidae,Anolis,Anolis distichus,Anolis,distichus,SPECIES,ACCEPTED,LC,2025-01-01T18:41:25,4,NORTH_AMERICA,El Seybo,2025,1,1,2025-01-01T14:25:55,1,1,2025-01-09T18:41:59.000+00:00,2025-01-22T02:25:39.924+00:00,https://www.inaturalist.org/observations/257026838,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257026838,none,none,FALSE,iNaturalist research-grade observations,plantsbirdsandbees,Jaskeen Paniagua,WGS84,Squamata,DO,none,none,Dominican Republic,LATIN_AMERICA,NORTH_AMERICA,plantsbirdsandbees,257026838,plantsbirdsandbees,2025-01-01 14:25:55-04:00,"La Española, Miches, El Seibo, DO",Observations,5007064248,https://www.inaturalist.org/observations/257026838,36455,257026838,iNaturalist,14:25:55-04:00,Lizard observed on palm tree trunk. About 2.5-3” long.,wild,579275012,"Anolis distichus Cope, 1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007082681,"Anolis evermanni Stejneger, 1904",18.29657,-66.314592,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T03:37:00.393+00:00,516,HUMAN_OBSERVATION,PRESENT,9424209,1,44,11592253,8345926,8782549,9424209,9424209,"Anolis evermanni Stejneger, 1904",Animalia,Chordata,Dactyloidae,Anolis,Anolis evermanni,Anolis,evermanni,SPECIES,ACCEPTED,LC,2025-01-01T20:41:13,919,NORTH_AMERICA,Corozal,2025,1,1,2025-01-01T16:39:01,1,1,2025-01-02T12:48:19.000+00:00,2025-01-22T03:37:00.393+00:00,https://www.inaturalist.org/observations/257039670,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257039670,none,none,FALSE,iNaturalist research-grade observations,Joel Franqui,Joel Franqui,WGS84,Squamata,PR,none,none,Puerto Rico,LATIN_AMERICA,NORTH_AMERICA,Joel Franqui,257039670,ecosentidopr,2025-01-01 16:39:01-04:00,"Puerto Rico, Corozal, PR, US",Observations,5007082681,https://www.inaturalist.org/observations/257039670,36445,257039670,iNaturalist,16:39:01-04:00,NA,wild,579308582,"Anolis evermanni Stejneger, 1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007565800,"Anolis cristatellus Duméril & Bibron, 1837",18.396785,-65.957558,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T03:39:04.939+00:00,516,HUMAN_OBSERVATION,PRESENT,2467091,1,44,11592253,8345926,8782549,2467091,2467091,"Anolis cristatellus Duméril & Bibron, 1837",Animalia,Chordata,Dactyloidae,Anolis,Anolis cristatellus,Anolis,cristatellus,SPECIES,ACCEPTED,LC,2025-01-02T00:20:14,2,NORTH_AMERICA,Carolina,2025,1,1,2025-01-01T11:24,1,1,2025-01-02T12:37:22.000+00:00,2025-01-22T03:39:04.939+00:00,https://www.inaturalist.org/observations/257064033,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257064033,none,none,FALSE,iNaturalist research-grade observations,Eliezer Nieves-Rodriguez,Eliezer Nieves-Rodriguez,WGS84,Squamata,PR,none,none,Puerto Rico,LATIN_AMERICA,NORTH_AMERICA,Eliezer Nieves-Rodriguez,257064033,eliezer,1/1/2025 11:24,"Hoyo Mulas, Carolina, 00985, Puerto Rico",Observations,5007565800,https://www.inaturalist.org/observations/257064033,36488,257064033,iNaturalist,11:24:00-04:00,NA,wild,579372049,"Anolis cristatellus Duméril & Bibron, 1837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008127474,"Anolis sagrei Duméril & Bibron, 1837",18.384578,-64.512895,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:22:50.709+00:00,516,HUMAN_OBSERVATION,PRESENT,4287413,1,44,11592253,8345926,8782549,4287413,4287413,"Anolis sagrei Duméril & Bibron, 1837",Animalia,Chordata,Dactyloidae,Anolis,Anolis sagrei,Anolis,sagrei,SPECIES,ACCEPTED,LC,2025-01-02T15:05:49,2,NORTH_AMERICA,Other Islands,2025,1,2,2025-01-02T11:00,2,2,2025-01-02T16:12:09.000+00:00,2025-01-22T02:22:50.709+00:00,https://www.inaturalist.org/observations/257130478,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257130478,none,none,FALSE,iNaturalist research-grade observations,kavanaghm,kavanaghm,WGS84,Squamata,VG,none,none,Virgin Islands (British),LATIN_AMERICA,NORTH_AMERICA,kavanaghm,257130478,kavanaghm,2025-01-02 11:00:00-04:00,"Manchioneel Bay, British Virgin Islands, VG",Observations,5008127474,https://www.inaturalist.org/observations/257130478,116461,257130478,iNaturalist,11:00:00-04:00,NA,wild,579552107,"Anolis sagrei Duméril & Bibron, 1837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5037019266,"Anolis leachii Duméril & Bibron, 1837",17.118499,-61.847698,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:26:18.942+00:00,516,HUMAN_OBSERVATION,PRESENT,2466956,1,44,11592253,8345926,8782549,2466956,2466956,"Anolis leachii Duméril & Bibron, 1837",Animalia,Chordata,Dactyloidae,Anolis,Anolis leachii,Anolis,leachii,SPECIES,ACCEPTED,LC,2025-01-07T18:15:20,NA,NORTH_AMERICA,Saint John,2025,1,2,2025-01-02T11:35:39,2,2,2025-01-09T15:57:46.000+00:00,2025-01-22T02:26:18.942+00:00,https://www.inaturalist.org/observations/257141317,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257141317,none,none,FALSE,iNaturalist research-grade observations,Tate Putman,Josiah Londerée,WGS84,Squamata,AG,none,none,Antigua and Barbuda,LATIN_AMERICA,NORTH_AMERICA,Tate Putman,257141317,tate_putman,1/2/2025 11:35,"4593+2C7, y Barbuda, Antigua and Barbuda",Observations,5037019266,https://www.inaturalist.org/observations/257141317,36583,257141317,iNaturalist,11:35:39-04:00,NA,wild,581231887,"Anolis leachii Duméril & Bibron, 1837",none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007556128,"Anolis leachii Duméril & Bibron, 1837",17.121707,-61.845561,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:25:49.597+00:00,516,HUMAN_OBSERVATION,PRESENT,2466956,1,44,11592253,8345926,8782549,2466956,2466956,"Anolis leachii Duméril & Bibron, 1837",Animalia,Chordata,Dactyloidae,Anolis,Anolis leachii,Anolis,leachii,SPECIES,ACCEPTED,LC,2025-01-02T19:32:49,NA,NORTH_AMERICA,Saint John,2025,1,2,2025-01-02T13:19:50,2,2,2025-01-07T18:14:52.000+00:00,2025-01-22T02:25:49.597+00:00,https://www.inaturalist.org/observations/257145255,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257145255,none,none,FALSE,iNaturalist research-grade observations,Tate Putman,Peter Mudde,WGS84,Squamata,AG,none,none,Antigua and Barbuda,LATIN_AMERICA,NORTH_AMERICA,Tate Putman,257145255,tate_putman,1/2/2025 13:19,"St John's, Antigua and Barbuda",Observations,5007556128,https://www.inaturalist.org/observations/257145255,36583,257145255,iNaturalist,13:19:50-04:00,NA,wild,579617875,"Anolis leachii Duméril & Bibron, 1837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007870562,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",19.105127,-70.590724,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T03:39:04.924+00:00,516,HUMAN_OBSERVATION,PRESENT,11185331,1,44,11592253,8345926,8782549,11185331,11185331,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",Animalia,Chordata,Dactyloidae,Anolis,Anolis hispaniolae,Anolis,hispaniolae,SPECIES,ACCEPTED,NE,2025-01-02T22:46:15,202,NORTH_AMERICA,La Vega,2025,1,1,2025-01-01T22:23,1,1,2025-01-09T18:41:51.000+00:00,2025-01-22T03:39:04.924+00:00,https://www.inaturalist.org/observations/257173187,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257173187,none,none,FALSE,iNaturalist research-grade observations,infinity2024,infinity2024,WGS84,Squamata,DO,none,none,Dominican Republic,LATIN_AMERICA,NORTH_AMERICA,infinity2024,257173187,infinity2024,1/1/2025 22:23,"4C45+3P2 Villas El Salto, Jarabacoa 41000多米尼加共和国",Observations,5007870562,https://www.inaturalist.org/observations/257173187,1148911,257173187,iNaturalist,22:23:00-04:00,NA,wild,579665710,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008091341,"Anolis distichus Cope, 1861",19.105127,-70.590724,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T03:39:29.948+00:00,516,HUMAN_OBSERVATION,PRESENT,2467218,1,44,11592253,8345926,8782549,2467218,2467218,"Anolis distichus Cope, 1861",Animalia,Chordata,Dactyloidae,Anolis,Anolis distichus,Anolis,distichus,SPECIES,ACCEPTED,LC,2025-01-02T23:24:31,202,NORTH_AMERICA,La Vega,2025,1,2,2025-01-02T13:21,2,2,2025-01-09T18:41:48.000+00:00,2025-01-22T03:39:29.948+00:00,https://www.inaturalist.org/observations/257176986,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257176986,none,none,FALSE,iNaturalist research-grade observations,infinity2024,infinity2024,WGS84,Squamata,DO,none,none,Dominican Republic,LATIN_AMERICA,NORTH_AMERICA,infinity2024,257176986,infinity2024,1/2/2025 13:21,"4C45+3P2 Villas El Salto, Jarabacoa 41000多米尼加共和国",Observations,5008091341,https://www.inaturalist.org/observations/257176986,36455,257176986,iNaturalist,13:21:00-04:00,NA,wild,579675611,"Anolis distichus Cope, 1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008087994,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",19.097129,-70.596409,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:26:00.198+00:00,516,HUMAN_OBSERVATION,PRESENT,11185331,1,44,11592253,8345926,8782549,11185331,11185331,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",Animalia,Chordata,Dactyloidae,Anolis,Anolis hispaniolae,Anolis,hispaniolae,SPECIES,ACCEPTED,NE,2025-01-03T00:03:28,15,NORTH_AMERICA,La Vega,2025,1,2,2025-01-02T12:24,2,2,2025-01-09T18:41:44.000+00:00,2025-01-22T02:26:00.198+00:00,https://www.inaturalist.org/observations/257180445,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257180445,none,none,FALSE,iNaturalist research-grade observations,infinity2024,infinity2024,WGS84,Squamata,DO,none,none,Dominican Republic,LATIN_AMERICA,NORTH_AMERICA,infinity2024,257180445,infinity2024,1/2/2025 12:24,"Paso Bajito, 41000多米尼加共和国",Observations,5008087994,https://www.inaturalist.org/observations/257180445,1148911,257180445,iNaturalist,12:24:00-04:00,NA,wild,579684884,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008145448,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",19.321742,-69.538672,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2025-01-20T20:21:10.296+00:00,2025-01-22T02:22:55.070+00:00,516,HUMAN_OBSERVATION,PRESENT,11185331,1,44,11592253,8345926,8782549,11185331,11185331,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",Animalia,Chordata,Dactyloidae,Anolis,Anolis hispaniolae,Anolis,hispaniolae,SPECIES,ACCEPTED,NE,2025-01-03T01:41:55,3,NORTH_AMERICA,Samaná,2025,1,2,2025-01-02T17:46:50,2,2,2025-01-09T18:41:42.000+00:00,2025-01-22T02:22:55.070+00:00,https://www.inaturalist.org/observations/257185016,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,257185016,none,none,FALSE,iNaturalist research-grade observations,gued,dum1,WGS84,Squamata,DO,none,none,Dominican Republic,LATIN_AMERICA,NORTH_AMERICA,gued,257185016,gued,2025-01-02 17:46:50-04:00,"La Hispaniola, Las Terrenas, Province de Samana, DO",Observations,5008145448,https://www.inaturalist.org/observations/257185016,1148911,257185016,iNaturalist,17:46:50-04:00,NA,wild,579707634,"Anolis hispaniolae (Köhler, Zimmer, Mcgrath & Hedges, 2019)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
