generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,grahami,hendersoni,0,0.032,0,0.005,0
10000,grahami,hendersoni,0,0.125968,-0.0314861,0.000675136,0
20000,grahami,hendersoni,0,0.13086,-0.0288841,0.0205931,0
30000,grahami,hendersoni,0,0.180866,-0.0315444,0.0177349,0
40000,grahami,hendersoni,0,0.20045,-0.0392338,0.0173039,0
50000,grahami,hendersoni,0,0.26942,-0.0527319,0.000189292,0
60000,grahami,hendersoni,0,0.270813,-0.0490231,0.0206486,0
70000,grahami,hendersoni,0,0.226392,-0.0438363,0.0153337,0
80000,grahami,hendersoni,0,0.167931,-0.033235,0.0110902,0
90000,grahami,hendersoni,0,0.105203,-0.0290968,0.00766948,0
90000,singularis,NA,46.5684,0.409095,0.00939575,0.344573,0
100000,grahami,hendersoni,0,0.159072,-0.0315646,0.00337147,0
110000,grahami,hendersoni,0,0.191117,-0.0377979,0.0188815,0
120000,grahami,hendersoni,0,0.180486,-0.042744,0.0150917,0
130000,grahami,hendersoni,0,0.204579,-0.0437223,0.00349328,0
140000,grahami,hendersoni,0,0.191025,-0.0318873,0.0140373,0
150000,grahami,hendersoni,0,0.233186,-0.0496858,0.00750316,0
160000,grahami,hendersoni,0,0.327994,-0.0462205,0.0177902,0
170000,grahami,hendersoni,0,0.279238,-0.0431938,0.0447774,0
180000,grahami,hendersoni,0,0.108604,-0.0183107,0.00353533,0
190000,grahami,hendersoni,0,0.102444,-0.0227585,0.000211102,0
200000,grahami,hendersoni,0,0.183105,-0.0360174,0.00334923,0
210000,grahami,hendersoni,0,0.216559,-0.0443771,0.00634381,0
220000,grahami,hendersoni,0,0.237797,-0.046045,0.0135399,0
230000,grahami,hendersoni,0,0.173637,-0.0293074,0.038001,0
240000,grahami,hendersoni,0,0.18254,-0.0387846,0.0114233,0
250000,grahami,hendersoni,0,0.124527,-0.0260826,0.00945598,0
260000,grahami,hendersoni,0,0.131411,-0.0298602,0.00681307,0
270000,grahami,hendersoni,0,0.209923,-0.0456041,0.00265735,0
280000,grahami,hendersoni,0,0.292411,-0.051366,0.0263129,0
290000,grahami,hendersoni,0,0.164593,-0.0390065,0.000501461,0
300000,grahami,hendersoni,0,0.14789,-0.0319382,0.0100993,0
310000,grahami,hendersoni,0,0.164841,-0.0307974,0.0200457,0
320000,grahami,hendersoni,0,0.246285,-0.0382624,0.0451357,0
330000,grahami,hendersoni,0,0.35509,-0.0606574,0.00971205,0
340000,grahami,hendersoni,0,0.181027,-0.0427659,0.00293465,0
340000,cuvieri,NA,36.8982,0.0324204,-0.00975858,0.167192,0
340000,smallwoodi,equestris,35.8798,0.601311,-0.00310525,0.427248,0
350000,grahami,hendersoni,0,0.175675,-0.0334656,0.00142195,0
