Island,Anolis_ahli,Anolis_alayoni,Anolis_aliniger,Anolis_allisoni,Anolis_allogus,Anolis_altitudinalis,Anolis_alumina,Anolis_alutaceus,Anolis_angusticeps,Anolis_argenteolus,Anolis_armouri,Anolis_bahorucoensis,Anolis_baleatus,Anolis_baracoae,Anolis_barahonae,Anolis_barbatus,Anolis_barbouri,Anolis_bartschi,Anolis_brevirostris,Anolis_carolinensis,Anolis_chamaeleonides,Anolis_chlorocyanus,Anolis_christophei,Anolis_cooki,Anolis_cristatellus,Anolis_cuvieri,Anolis_cyanopleurus,Anolis_cybotes,Anolis_distichus,Anolis_equestris,Anolis_etheridgei,Anolis_evermanni,Anolis_fowleri,Anolis_garmani,Anolis_grahami,Anolis_guazuma,Anolis_gundlachi,Anolis_hendersoni,Anolis_homolechis,Anolis_inexpectatus,Anolis_insolitus,Anolis_isolepis,Anolis_jubar,Anolis_krugi,Anolis_lineatopus,Anolis_longitibialis,Anolis_lucius,Anolis_luteogularis,Anolis_marcanoi,Anolis_mestrei,Anolis_noblei,Anolis_occultus,Anolis_oculatus,Anolis_olssoni,Anolis_opalinus,Anolis_ophiolepis,Anolis_poncensis,Anolis_porcatus,Anolis_porcus,Anolis_pulchellus,Anolis_reconditus,Anolis_ricordii,Anolis_roquet,Anolis_rubribarbus,Anolis_sagrei
Hog Cay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cuba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Little Cayman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cayman Brac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anegada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Providenciales Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guantanamo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
San Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
